,,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150
r100d5,1,1624082481.0,1604009842.0,1603993609.0,1603980413.0,1603970696.0,1603947562.0,1603938630.0,1603931031.0,1603930517.0,1603928823.0,1603928820.0,1603928194.0,1603923014.0,1603922291.0,1603919696.0,1603915759.0
r100d5,2,1082939254.0,1072471411.0,1072442050.0,1071628248.0,1071620336.0,1041209971.0,1041206869.0,1041204660.0,1041204228.0,1031204923.0,1031201568.0,1031199161.0,1031199161.0,1031198205.0,1031198205.0,1031198198.0
r100d5,3,282314358.0,261701134.0,261673376.0,261559068.0,261555315.0,261546721.0,261539502.0,261534833.0,261528328.0,261526261.0,261525662.0,261524491.0,261521466.0,261517304.0,261517304.0,261516776.0
r100d5,4,1991660023.0,1901106582.0,1901092272.0,1901081458.0,1901073350.0,1899570036.0,1898570057.0,1898564243.0,1898560438.0,1898560094.0,1898558627.0,1868553664.0,1868553542.0,1868553542.0,1868553128.0,1868552082.0
r100d5,5,416555064021.0,379459061021.0,353256058021.0,346634058021.0,342529058021.0,341881058021.0,340982558021.0,338636058021.0,337628558021.0,336731058021.0,336673558021.0,334412057021.0,334088057021.0,333406557021.0,333209557021.0,333141557021.0
r100d10,1,1525012373.0,1524891967.0,1524876860.0,1524872506.0,1524866811.0,1524858279.0,1524857043.0,1524853119.0,1524850330.0,1524847540.0,1524836578.0,1524828620.0,1524827846.0,1524827846.0,1524827199.0,1524827199.0
r100d10,2,2088016292.0,1877946256.0,1877520753.0,1877310182.0,1877302247.0,1857298921.0,1857294946.0,1857293888.0,1857290258.0,1857286465.0,1857283643.0,1857280591.0,1857279388.0,1857279388.0,1857278966.0,1857278966.0
r100d10,3,256521102.0,256127380.0,255993199.0,255987694.0,205971381.0,205969750.0,205960759.0,205956427.0,205854875.0,205854760.0,205854760.0,205853202.0,205850114.0,205848587.0,205845106.0,205845083.0
r100d10,4,1993153728.0,1871867367.0,1830650094.0,1830648172.0,1830640599.0,1790634656.0,1790634569.0,1790634050.0,1790633154.0,1790633139.0,1790633139.0,1790631335.0,1790628033.0,1790627471.0,1790627471.0,1790627398.0
r100d10,5,70463000007.0,63298296007.0,61740894007.0,60767894007.0,60478194007.0,60086294007.0,59826592007.0,59126892007.0,59003192007.0,58926592007.0,58914092007.0,58891492007.0,58888092007.0,58888092007.0,58858492007.0,58818692007.0
