,,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150
r100d5,1,1654079874.6666667,1623317305.4,1617293493.3333333,1612608611.0666666,1608597518.7333333,1607920731.6666667,1605914336.6,1605242308.0666666,1603236937.6666667,1603233434.3333333,1603230347.0666666,1601229633.8666666,1601226872.4,1600558410.5333333,1599889730.7333333,1599888406.8
r100d5,2,1095467109.6,1071780328.4,1066368687.2,1062222190.5333333,1060162395.3333334,1052743883.2666667,1047965931.0666667,1045936971.6666666,1043159778.2666667,1042463577.7333333,1042433546.8666667,1042404994.0666667,1042403851.2,1042375499.8666667,1042347800.6,1042346853.9333333
r100d5,3,272854008.1333334,261594890.93333334,257238686.6,251860392.6,250386860.0,247625899.46666667,247584739.33333334,247522272.66666666,246139046.2,246135137.4,246084887.46666667,246081534.86666667,246059194.4,246056930.6,246049078.26666668,244707499.46666667
r100d5,4,2026068346.6,1977146313.5333333,1946781202.6,1930571647.3333333,1926338871.4666667,1924062984.1333334,1915892546.5333333,1913869303.2666667,1913813872.8666666,1909724790.3333333,1909710125.4666667,1905589083.9333334,1903408051.2666667,1901266868.3333333,1899205559.4666667,1899177666.0
r100d5,5,409529863488.4667,369082194221.8,355853726421.6667,349419492688.3333,344060258888.3333,341850992088.3333,339425725154.93335,336904624821.6,335479824688.2666,334129857888.26666,333373024488.26666,332327324288.26666,331378257554.93335,330673157488.26666,329841324154.93335,329323090754.93335
r100d10,1,1659114327.0666666,1589511593.5333333,1583484813.1333334,1577474577.5333333,1570800995.0666666,1564759791.4666667,1564756156.4666667,1564749866.6666667,1561414531.9333334,1561412657.6666667,1561410033.4666667,1558741807.9333334,1558740548.7333333,1558739068.1333334,1558737641.6666667,1556070002.8666666
r100d10,2,2073926826.9333334,1939101186.0666666,1918946752.0666666,1896844510.9333334,1884116583.0,1880083391.0666666,1876719805.7333333,1876024073.4666667,1866689720.1333334,1864647473.4,1863299220.4,1863298018.8,1863270508.0,1861909269.2,1861867034.8,1861866481.8666666
r100d10,3,303092222.73333335,296145784.1333333,292751196.0,286033459.6666667,282678996.53333336,282659938.0666666,279322050.0666667,275984447.3333333,272641984.53333324,272640902.0,272639320.8,272632099.73333335,265964081.66666666,265956896.2,265949854.73333332,265949391.73333332
r100d10,4,2000024203.9333334,1854374756.4666667,1806066024.2666667,1784338769.7333333,1770973683.1333334,1762910282.2666667,1754828155.9333334,1749372941.3333333,1746604734.4,1746603776.8,1741242235.0666666,1738521332.8666666,1735853765.8,1735853567.6,1733185976.4,1733185569.6
r100d10,5,73955081074.53334,65043187341.0,62762930407.6,61667675874.26667,60757535074.26667,60016194540.933334,59607127340.933334,59219206674.26667,59030666274.26667,58851699340.933334,58806285874.26667,58725432274.26667,58647158807.6,58533638674.26667,58499218407.6,58435971607.6
r500d15,1,4175965146.6,4141820092.3333335,4129101303.9333334,4121043193.0666666,4106330811.8,4100303107.6,4098272111.0666666,4094915193.4666667,4088880092.0,4079523315.133333,4075503110.4,4071480813.266667,4065469006.3333335,4064789033.2,4064110012.8,4054762056.6
r500d15,2,4358383370.266666,4303054807.799999,4285981512.6666665,4273636085.4,4269883420.266667,4268794222.0,4265762201.866667,4265585707.266667,4263983216.9333334,4263640563.9333334,4263431740.0,4263196583.4666667,4262963130.8,4262718928.4,4261140738.733333,4259659400.4
r500d15,3,1207032608.1333334,1189581672.2666667,1176015763.6666665,1172517051.7999997,1172414241.4666667,1172315231.5333333,1168941862.4,1168884992.2,1168803395.9333334,1168699093.0,1161981611.7333333,1158628167.4666667,1158568901.2,1158539891.9333334,1158496911.7333333,1158479357.2666667
r500d15,4,5917295056.666667,5820858445.866667,5788633420.533334,5753911979.866667,5729802893.6,5708423231.333333,5678967967.133332,5636280310.133333,5622916640.2,5590842273.733334,5569474881.533334,5556113575.866667,5540088947.533334,5537358125.066667,5523993856.4,5510650461.933333
r500d15,5,470810519348.6,459116914348.3333,452341802681.6667,446743066014.93335,442261301014.86664,438703590681.4,435556081681.4,432447265681.4,429519116014.73334,427146728014.73334,425205830014.6667,422991601014.6667,421114438348.0,419764210348.0,418266955348.0,416882753347.93335
r1000d25,1,8726883744.6,8616128477.066668,8602728364.933332,8578006207.266666,8559291052.933333,8547904756.266666,8541200068.866667,8537165498.933333,8526468933.666667,8523109850.6,8519075019.8,8513715626.933333,8508357358.2,8501667096.866667,8498313587.133333,8492958724.533334
r1000d25,2,8440011222.333333,8379200214.466666,8357055732.133333,8347605165.866667,8324838657.0,8314062744.733334,8307328207.2,8299273164.466666,8291186644.2,8282446573.4,8279707599.8,8279641523.133333,8271576071.466666,8263498451.533334,8244097956.133333,8244046443.533334
r1000d25,3,431472156.6666667,430232580.26666665,429588768.0,429222233.2,428757190.06666666,428584932.26666665,426294396.46666664,424231728.4,424119991.0,424010734.2,423927569.46666664,421885730.1333333,417765542.0,417588854.6,413513022.4,413427847.93333334
r1000d25,4,12213831014.866667,12169944488.866667,12129726737.666666,12116239369.2,12099458725.4,12079383911.333334,12062618680.0,12049198366.6,12035768039.866667,12025680495.733334,12008955078.8,11998871607.133333,11982120423.733334,11962037265.466667,11958687882.266666,11938660417.266666
r1000d25,5,352221623878.6666,346664902945.3333,343094341478.6667,340316020545.26666,338024726278.6,335845079078.6,333772625078.4667,331775436945.06665,330300809478.3333,328870341211.6,327424027478.13336,326009973211.4,324811739478.06665,323647132144.73334,322618625344.73334,321430737611.4
