,,s1,s1,s1,s1,s1,s1,s1,s1,s2,s2,s2,s2,s2,s2,s2,s2,s3,s3,s3,s3,s3,s3,s3,s3
,,r1,r1,r2,r2,r3,r3,r4,r4,r1,r1,r2,r2,r3,r3,r4,r4,r1,r1,r2,r2,r3,r3,r4,r4
,,it,c,it,c,it,c,it,c,it,c,it,c,it,c,it,c,it,c,it,c,it,c,it,c
r100d5,1,,,,,,,,,,,20000,2188968455,10000,2165226339,10000,2165211162,0,2092540048,0,2028375285,0,1634297528,0,1624082481
r100d5,2,,,,,,,,,,,,,,,,,10000,1085291480,10000,1084517168,0,1123360308,0,1082939254
r100d5,3,,,,,,,,,,,,,,,,,0,987395064,0,486373580,0,282314358,0,282416162
r100d5,4,,,,,,,,,,,,,,,,,10000,2411663257,10000,2412358107,0,2081584174,0,1991660023
r100d5,5,,,,,,,,,,,,,,,,,10000,381145576030,0,590095111037,0,421783064021,0,416555064021
r100d10,1,20000,2427025095,,,30000,2416484973,0,2427123175,10000,2196481000,10000,2267012564,0,2136574548,0,2196540239,10000,1786480736,0,2057529235,0,1645086237,0,1525012373
r100d10,2,,,,,,,,,20000,2648736709,20000,2628951423,,,10000,2507528437,0,2571474108,0,2505425206,0,2038231642,0,2088016292
r100d10,3,,,,,,,,,,,,,,,,,10000,406632762,0,508796962,0,256521102,0,256526938
r100d10,4,10000,2123001399,10000,2004086746,20000,1844739526,10000,1842455403,0,8044222304,0,4003743786,0,2037377044,0,2037365984,0,8041828304,0,3761320030,0,2075684611,0,1993153728
r100d10,5,,,,,,,,,,,,,,,,,0,141960800031,0,110284394015,0,73457206007,0,70463000007
r500d15,1,20000,5862102614,30000,6011522388,0,5368684822,0,5358519759,10000,5703474793,10000,5792563133,0,4978289406,0,4947681461,0,5520626372,0,5507106356,0,4278490866,0,4227785949
r500d15,2,10000,7105731958,20000,6607800787,0,5979521945,0,5977116806,10000,6195884445,10000,6145366013,0,5328669657,0,5418131296,10000,5242609746,0,5895677793,0,4438866577,0,4456902269
r500d15,3,20000,1430716278,30000,1328493861,0,1225867315,0,1175197704,10000,1471313357,10000,1523908276,0,1216580184,0,1166490221,0,5084083956,0,2479752808,0,1207887781,0,1159782712
r500d15,4,80000,8227199205,40000,8788054256,20000,5946146969,30000,5664116014,20000,10467518263,30000,9027213430,0,6062991566,0,5862647334,0,40070917480,0,13626617629,0,6291136245,0,6010639071
r500d15,5,10000,738663365038,10000,720492455034,0,519628960017,0,480487915017,10000,733179080032,0,1053363895044,0,506394535017,0,465804690015,0,1483826600090,0,1043979085044,0,517285740017,0,474550895016
r1000d25,1,20000,11490334428,20000,11570380565,0,11046519836,0,10966143644,20000,11100362432,10000,11441465246,0,10066520009,0,9866207719,0,11429234056,0,11416662964,0,8686531746,0,8556158151
r1000d25,2,,,,,0,10873828506,0,11021867215,90000,10807024518,60000,10921208236,0,10613956579,0,10381850906,10000,10192946752,10000,10171187390,0,8682389676,0,8440969033
r1000d25,3,,,,,,,,,80000,596024906,140000,503383855,20000,531321531,10000,409462199,10000,1075018313,10000,834366900,0,424938397,0,426899855
r1000d25,4,20000,26374902760,20000,23826141421,0,12920958593,0,12167239640,10000,32971114082,10000,26320663588,0,12913002775,0,12009681559,0,100074592872,0,30720482478,0,12854401004,0,12003162722
r1000d25,5,100000,403469236019,130000,378549186017,0,402400418015,0,345129956012,10000,723854660040,10000,679579332033,0,408616530014,0,361597080013,0,1481553600102,0,970615190039,0,402110722013,0,347999464012
r1000d30,1,,,,,,,,,,,,,,,0,8164973564,10000,8341057463,0,8744393288,0,6895607366,0,6864910870
r1000d30,2,50000,9158651436,,,0,8518364473,0,8383774905,50000,8805319940,40000,8721192811,0,8188810518,0,8032949877,0,9025576308,0,8615680289,0,7147999868,0,7092586395
r1000d30,3,,,,,,,,,50000,721864341,60000,659814390,0,478513462,10000,507357532,0,2772104320,0,1025600298,0,407490680,0,408365782
r1000d30,4,40000,15813853315,40000,15394819929,50000,10406150466,0,9956598905,10000,22685098022,10000,19835597889,0,10886571219,0,10225190744,10000,22079657726,0,25020265120,0,10178699028,0,9637035028
r1000d30,5,,,,,0,627105564020,0,587857146019,,,,,0,638858188021,0,607402962020,0,1515713200092,0,1114938074042,0,617193440019,0,584409132020
