,,-,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s2,s2,s2,s2,s2,s2,s2,s2,s2,s2,s2,s2,s2,s2,s2,s2,s2,s2,s2,s2,s2,s2,s2,s2,s2,s2,s3,s3,s3,s3,s3,s3,s3,s3,s3,s3,s3,s3,s3,s3,s3,s3,s3,s3,s3,s3,s3,s3,s3,s3,s3,s3
,,-,-,-,r1,r1,r1,r1,r1,r1,r2,r2,r2,r2,r2,r2,r3,r3,r3,r3,r3,r3,r4,r4,r4,r4,r4,r4,-,-,r1,r1,r1,r1,r1,r1,r2,r2,r2,r2,r2,r2,r3,r3,r3,r3,r3,r3,r4,r4,r4,r4,r4,r4,-,-,r1,r1,r1,r1,r1,r1,r2,r2,r2,r2,r2,r2,r3,r3,r3,r3,r3,r3,r4,r4,r4,r4,r4,r4
,,mtu,f,tu,f,tu,vd,mnv,d,c,f,tu,vd,mnv,d,c,f,tu,vd,mnv,d,c,f,tu,vd,mnv,d,c,f,tu,f,tu,vd,mnv,d,c,f,tu,vd,mnv,d,c,f,tu,vd,mnv,d,c,f,tu,vd,mnv,d,c,f,tu,f,tu,vd,mnv,d,c,f,tu,vd,mnv,d,c,f,tu,vd,mnv,d,c,f,tu,vd,mnv,d,c
r100d5,1,"[54, 60, 52]",False,"[57, 60, 54]",False,"[64, 67, 61]",200,78,1340048,2577540048,False,"[61, 62, 61]",112,47,1084589,2460820589,False,"[57, 61, 55]",53,21,801139,2305160139,False,"[57, 60, 54]",54,23,792962,2285554962,True,"[54, 56, 52]",False,"[59, 63, 57]",200,76,1340048,2397140048,False,"[57, 62, 57]",110,47,1071896,2340801896,False,"[54, 56, 56]",51,22,776600,2205329600,False,"[54, 56, 54]",51,22,780387,2185333387,True,"[37, 42, 39]",True,"[52, 54, 50]",200,53,1340048,2092540048,True,"[49, 54, 50]",104,35,1063285,2028375285,True,"[38, 45, 42]",48,17,753528,1634297528,True,"[38, 46, 40]",47,16,741481,1624082481
r100d5,2,"[74, 68]",False,"[68, 77]",False,"[81, 97]",200,79,1331984,1861726984,False,"[81, 97]",59,24,889815,1804609815,False,"[68, 77]",37,17,564114,1465449114,False,"[68, 77]",36,16,552080,1465032080,False,"[68, 72]",False,"[78, 87]",200,76,1331984,1731711984,False,"[78, 87]",60,24,890803,1675010803,False,"[68, 72]",34,14,531070,1414201070,False,"[68, 72]",34,14,525474,1414195474,True,"[45, 54]",False,"[62, 76]",200,49,1331984,1461576984,False,"[62, 75]",60,15,857618,1394932618,True,"[56, 55]",32,10,510308,1123360308,True,"[52, 55]",31,9,494254,1082939254
r100d5,3,"[36, 48, 46, 36]",False,"[33, 47, 49, 36]",False,"[43, 57, 58, 40]",200,79,1395064,1618795064,False,"[40, 54, 58, 40]",77,31,1016772,656370772,False,"[39, 48, 50, 38]",43,18,707049,393893049,False,"[34, 48, 49, 39]",43,18,693099,391379099,False,"[30, 44, 47, 36]",False,"[37, 52, 51, 40]",200,76,1395064,1554595064,False,"[37, 49, 51, 40]",78,30,1012872,633668872,False,"[31, 44, 47, 39]",38,16,639052,349215052,False,"[30, 44, 47, 39]",39,17,632831,368710831,True,"[21, 29, 27, 24]",True,"[29, 41, 40, 30]",200,48,1395064,987395064,True,"[29, 37, 40, 30]",75,23,1023580,486373580,True,"[25, 31, 31, 29]",39,13,636358,282314358,True,"[25, 31, 32, 29]",38,13,640162,282416162
r100d5,4,"[38, 34, 18, 40, 28]",False,"[40, 36, 22, 40, 32]",False,"[44, 41, 28, 46, 32]",200,87,1433788,6060381788,False,"[44, 41, 28, 46, 32]",126,58,1151484,3839983484,False,"[40, 39, 22, 46, 32]",82,38,956865,2515908865,False,"[40, 36, 22, 46, 32]",82,38,934839,2514686839,False,"[40, 36, 21, 39, 29]",False,"[44, 41, 26, 44, 29]",200,86,1433788,6058077788,False,"[44, 41, 26, 44, 29]",127,57,1145553,3867673553,False,"[40, 39, 22, 44, 29]",79,38,915355,2424167355,False,"[40, 39, 22, 44, 29]",79,38,906141,2424158141,True,"[28, 23, 13, 30, 21]",False,"[34, 33, 22, 38, 27]",200,50,1433788,6048933788,False,"[34, 32, 19, 38, 27]",113,35,1106667,3437246667,True,"[30, 29, 14, 34, 25]",68,23,792174,2081584174,True,"[33, 27, 14, 34, 25]",65,22,772023,1991660023
r100d5,5,"[82, 82]",False,"[79, 89]",False,"[93, 106]",200,78,1577380,790680200078,False,"[93, 106]",119,51,1210448,607214119051,False,"[85, 90]",75,32,965474,484487075032,False,"[89, 96]",74,32,937964,470832074032,False,"[76, 86]",False,"[89, 103]",200,77,1577380,790610200077,False,"[89, 103]",118,50,1208212,606026118050,False,"[84, 87]",73,33,942874,473147073033,False,"[88, 95]",70,31,904876,454268070031,True,"[52, 64]",False,"[70, 86]",200,52,1577380,790250200052,True,"[70, 81]",111,37,1177170,590095111037,True,"[58, 68]",64,21,841046,421783064021,True,"[66, 73]",64,21,830330,416555064021
r100d10,1,"[24, 40, 34]",True,"[24, 33, 33]",False,"[28, 44, 43]",200,37,1462132,3020762132,False,"[28, 39, 43]",105,19,1128995,2961048995,False,"[25, 34, 36]",69,12,898850,2537174850,True,"[24, 34, 34]",65,12,863175,2427123175,True,"[21, 31, 29]",False,"[26, 40, 33]",200,30,1462132,2517262132,False,"[26, 38, 33]",106,15,1151555,2489075555,True,"[21, 34, 29]",63,11,822548,2136574548,True,"[21, 32, 31]",61,11,796239,2196540239,True,"[14, 21, 17]",False,"[25, 35, 28]",200,33,1462132,2238762132,True,"[22, 35, 26]",101,12,1125235,2057529235,True,"[15, 27, 23]",63,8,834237,1645086237,True,"[15, 27, 20]",59,8,776373,1525012373
r100d10,2,"[26, 24, 22, 20, 22]",False,"[17, 17, 18, 18, 23]",False,"[24, 22, 28, 28, 31]",200,40,1378108,3861498108,False,"[24, 22, 26, 27, 31]",72,12,1013385,3705449385,False,"[21, 21, 21, 24, 23]",38,6,637236,3138255236,False,"[19, 21, 27, 26, 23]",36,6,581349,3457799349,True,"[17, 14, 18, 18, 18]",False,"[22, 19, 20, 27, 26]",200,35,1378108,3311483108,False,"[22, 19, 19, 27, 24]",67,10,951206,3204381206,False,"[17, 17, 18, 23, 18]",36,5,596545,2747811545,False,"[18, 17, 18, 23, 18]",36,5,584690,2757799690,True,"[10, 11, 10, 11, 14]",True,"[17, 17, 17, 18, 22]",200,32,1378108,2571474108,True,"[17, 17, 17, 18, 20]",72,11,992206,2505425206,True,"[13, 13, 16, 14, 15]",38,5,616642,2038231642,True,"[13, 15, 15, 15, 15]",37,4,604292,2088016292
r100d10,3,"[46, 38]",False,"[55, 45]",False,"[77, 54]",200,41,1064568,2064364568,False,"[68, 53]",83,14,883529,713066529,False,"[55, 50]",45,8,596781,411141781,False,"[55, 46]",44,8,591804,410735804,False,"[49, 29]",False,"[59, 35]",200,32,1064568,1610664568,False,"[56, 35]",77,12,870754,610047754,False,"[50, 33]",45,6,603528,308948528,False,"[49, 29]",43,6,581891,308424891,True,"[30, 19]",False,"[49, 35]",200,34,1064568,1709664568,True,"[44, 35]",71,10,825962,508796962,True,"[32, 27]",41,5,580102,256521102,True,"[32, 27]",42,5,584938,256526938
